GenBankAssemblyID	NCBI Taxonomy ID	NCBI Assembly Name	NCBI Species Name	NCBI Species Lineage	Potential Hosts	PACIFIC Group
GCA_008796625.1	44133	ASM879662v1	Human rhinovirus A58 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796645.1	185917	ASM879664v1	Human rhinovirus A57 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796665.1	185916	ASM879666v1	Human rhinovirus A56 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796685.1	185914	ASM879668v1	Human rhinovirus A54 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796705.1	147677	ASM879670v1	Human rhinovirus B52 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796725.1	185912	ASM879672v1	Human rhinovirus A51 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796745.1	44132	ASM879674v1	Human rhinovirus A50 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796765.1	185911	ASM879676v1	Human rhinovirus A47 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796785.1	147676	ASM879678v1	Human rhinovirus A45 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796805.1	167321	ASM879680v1	Human rhinovirus A43 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796825.1	147683	ASM879682v1	Human rhinovirus B42 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796845.1	185908	ASM879684v1	Human rhinovirus A40 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796865.1	185904	ASM879686v1	Human rhinovirus A33 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796885.1	185903	ASM879688v1	Human rhinovirus A32 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796905.1	185902	ASM879690v1	Human rhinovirus A31 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796925.1	44129	ASM879692v1	Human rhinovirus A29 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796945.1	185899	ASM879694v1	Human rhinovirus B26 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796965.1	185898	ASM879696v1	Human rhinovirus A25 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796985.1	185896	ASM879698v1	Human rhinovirus A22 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797035.1	44128	ASM879703v1	Human rhinovirus A21 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797055.1	147675	ASM879705v1	Human rhinovirus A20 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797075.1	185895	ASM879707v1	Human rhinovirus A19 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797095.1	147674	ASM879709v1	Human rhinovirus A18 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797115.1	185893	ASM879711v1	Human rhinovirus A13 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797135.1	185890	ASM879713v1	Human rhinovirus A8 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797155.1	147714	ASM879715v1	Human rhinovirus B5 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008797295.1	1240004	ASM879729v1	Human rhinovirus C11 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C	"human,vertebrates"	Rhinovirus
GCA_008797455.1	463676	ASM879745v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008797475.1	463676	ASM879747v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008797535.1	1219377	ASM879753v1	Human rhinovirus C3 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C	"human,vertebrates"	Rhinovirus
GCA_008797555.1	167327	ASM879755v1	Human rhinovirus B93 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008797575.1	147680	ASM879757v1	Human rhinovirus B37 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008797595.1	150904	ASM879759v1	Human rhinovirus B17 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008797615.1	185941	ASM879761v1	Human rhinovirus A94 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797635.1	147685	ASM879763v1	Human rhinovirus A78 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797655.1	185922	ASM879765v1	Human rhinovirus A64 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797675.1	185897	ASM879767v1	Human rhinovirus A24 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797695.1	147684	ASM879769v1	Human rhinovirus A12 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797715.1	39767	ASM879771v1	Human rhinovirus A11 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797755.1	992231	ASM879775v1	Human rhinovirus NAT045 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C; Human rhinovirus C2	"human,vertebrates"	Rhinovirus
GCA_008797895.1	463676	ASM879789v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008797935.1	185901	ASM879793v1	Human rhinovirus A30 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797955.1	185915	ASM879795v1	Human rhinovirus A55 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797975.1	185930	ASM879797v1	Human rhinovirus A75 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008797995.1	147711	ASM879799v1	Rhinovirus A (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008798015.1	147672	ASM879801v1	Human rhinovirus A28 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798035.1	185913	ASM879803v1	Human rhinovirus A53 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798055.1	167324	ASM879805v1	Human rhinovirus A46 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798075.1	147673	ASM879807v1	Human rhinovirus A36 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798095.1	185939	ASM879809v1	Human rhinovirus A88 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798115.1	44136	ASM879811v1	Human rhinovirus A7 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798135.1	185931	ASM879813v1	Human rhinovirus A76 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798155.1	185905	ASM879815v1	Human rhinovirus A34 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798175.1	185918	ASM879817v1	Human rhinovirus A59 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798195.1	185892	ASM879819v1	Human rhinovirus A10 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798215.1	12135	ASM879821v1	Human rhinovirus A23 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798235.1	44131	ASM879823v1	Human rhinovirus A49 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798255.1	185906	ASM879825v1	Human rhinovirus A38 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798275.1	185929	ASM879827v1	Human rhinovirus A74 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798295.1	185894	ASM879829v1	Human rhinovirus A15 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798315.1	185928	ASM879831v1	Human rhinovirus A73 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798335.1	185909	ASM879833v1	Human rhinovirus A41 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008798355.1	185889	ASM879835v1	Human rhinovirus B4 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008798375.1	185926	ASM879837v1	Human rhinovirus B70 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008798395.1	147679	ASM879839v1	Rhinovirus B48 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008798415.1	167329	ASM879841v1	Human rhinovirus B35 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008798435.1	147681	ASM879843v1	Human rhinovirus B6 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008798635.1	12129	ASM879863v1	Human rhinovirus 1B (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A; Human rhinovirus A1	"human,vertebrates"	Rhinovirus
GCA_008798875.1	185907	ASM879887v1	Human rhinovirus A39 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_009858895.3	2697049	ASM985889v3	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937885.1	2697049	ASM993788v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937895.1	2697049	ASM993789v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937905.1	2697049	ASM993790v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937915.1	2697049	ASM993791v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937925.1	2697049	ASM993792v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937935.1	2697049	ASM993793v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009937945.1	2697049	ASM993794v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009938055.1	2697049	ASM993805v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009938065.1	2697049	ASM993806v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009948425.1	2697049	ASM994842v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009948465.1	2697049	ASM994846v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009948495.1	2697049	ASM994849v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009948525.1	2697049	ASM994852v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_009948555.1	2697049	ASM994855v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011536935.1	2697049	ASM1153693v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011536975.1	2697049	ASM1153697v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537005.1	2697049	ASM1153700v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537015.1	2697049	ASM1153701v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537065.1	2697049	ASM1153706v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537075.1	2697049	ASM1153707v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537085.1	2697049	ASM1153708v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537135.1	2697049	ASM1153713v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537145.1	2697049	ASM1153714v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537155.1	2697049	ASM1153715v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537225.1	2697049	ASM1153722v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537235.1	2697049	ASM1153723v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537265.1	2697049	ASM1153726v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537295.1	2697049	ASM1153729v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537325.1	2697049	ASM1153732v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537355.1	2697049	ASM1153735v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537365.1	2697049	ASM1153736v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537395.1	2697049	ASM1153739v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537425.1	2697049	ASM1153742v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537455.1	2697049	ASM1153745v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537465.1	2697049	ASM1153746v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537475.1	2697049	ASM1153747v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537505.1	2697049	ASM1153750v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537515.1	2697049	ASM1153751v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537525.1	2697049	ASM1153752v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537555.1	2697049	ASM1153755v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537565.1	2697049	ASM1153756v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537615.1	2697049	ASM1153761v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537625.1	2697049	ASM1153762v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537695.1	2697049	ASM1153769v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537705.1	2697049	ASM1153770v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
GCA_011537715.1	2697049	ASM1153771v1	Severe acute respiratory syndrome coronavirus 2 (viruses)	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	"human,vertebrates"	Sars_cov_2
